Class, processes, events
B,128,81
B,16,81
B,256,81
B,32,81
B,4,57
B,64,81
B,8,73
C,1024,81
C,128,81
C,16,79
C,256,81
C,32,81
C,4,57
C,512,81
C,64,81
C,8,73
