eventID,opcode,subblock,COMP-4b.avg
1,1011,0,6.43
1,1011,1,117.91
2,1113,0,554270.38
2,1113,1,145737.29
3,1090,0,540749.23
3,1090,1,64669.78
3,1090,2,44045.72
4,1113,0,134.85
5,1148,0,8.72
5,1148,1,9.88
6,1113,0,101.84
6,1113,1,107701.67
6,1113,2,26782.24
7,1090,0,9.43
8,1148,0,8.29
8,1148,1,9.16
9,1090,0,56456.20
9,1090,1,45812.84
10,1113,0,124.00
11,1148,0,5.88
11,1148,1,8.79
12,1113,0,580193.00
12,1113,1,78.43
12,1113,2,78712.00
12,1113,3,26854.46
13,1090,0,8.92
14,1148,0,6.83
14,1148,1,9.86
15,1004,0,154813.33
15,1004,1,150804.53
16,1010,0,8.52
17,1102,0,601.20
17,1102,1,5.56
17,1102,2,296.77
18,1113,0,715.00
18,1113,1,210.81
18,1113,2,165.63
19,1102,0,601.40
19,1102,1,13.97
19,1102,2,222.74
20,1113,0,132.49
21,1113,0,451114.88
21,1113,1,224.10
21,1113,2,31.80
22,1090,0,440651.49
22,1090,1,9466.19
22,1090,2,17938.43
23,1113,0,642.15
24,1148,0,6.46
24,1148,1,7.70
25,1113,0,477797.00
25,1113,1,1562.00
25,1113,2,61865.00
25,1113,3,30339.00
26,1090,0,26948.59
26,1090,1,26774.35
27,1148,0,7.94
27,1148,1,7.83
28,1113,0,78.18
28,1113,1,7990.09
29,1090,0,9.80
30,1148,0,7.60
30,1148,1,9.38
31,1004,0,158425.59
31,1004,1,141122.80
32,1010,0,9.60
33,1102,0,588.60
33,1102,1,6.74
33,1102,2,323.23
33,1102,3,155741.46
34,1113,0,899.00
34,1113,1,373.53
34,1113,2,178.10
34,1113,3,143318.26
35,1102,0,595.37
35,1102,1,19.15
35,1102,2,254.11
35,1102,3,161923.24
36,1113,0,96.61
37,1113,0,234.61
37,1113,1,18.31
38,1090,0,9025.01
38,1090,1,20692.36
39,1148,0,18.60
39,1148,1,7.01
40,1113,0,601.89
40,1113,1,151.47
40,1113,2,151.29
41,1148,0,6.37
41,1148,1,7.16
42,1102,0,604.72
43,1113,0,1659.37
43,1113,1,1028.59
43,1113,2,32525.14
44,1090,0,26632.77
44,1090,1,29459.76
45,1148,0,125.59
45,1148,1,7.58
46,1113,0,438.60
46,1113,1,109.84
46,1113,2,148.09
47,1148,0,6.39
47,1148,1,7.97
48,1102,0,6.28
48,1102,1,1046.54
48,1102,2,159204.79
49,1113,0,312.37
49,1113,1,127.36
49,1113,2,779.68
50,1102,0,17.99
50,1102,1,244.03
50,1102,2,165434.97
51,1113,0,237.40
51,1113,1,32.46
52,1004,0,1280.00
52,1004,1,8729.66
53,1113,0,851.75
54,1090,0,741.16
54,1090,1,11712.67
54,1090,2,15422.64
55,1113,0,269.87
56,1148,0,6.28
56,1148,1,8.14
57,1113,0,870.00
57,1113,1,51691.00
57,1113,2,19781.38
58,1090,0,21517.93
58,1090,1,25611.76
59,1148,0,5.78
59,1148,1,7.76
60,1113,0,75.84
60,1113,1,7707.00
61,1090,0,7.00
62,1148,0,8.12
62,1148,1,8.74
63,1004,0,22645.44
63,1004,1,161804.67
63,1004,2,147454.12
64,1090,0,43.39
65,1148,0,6.35
66,1113,0,42.62
66,1113,1,7.74
67,1090,0,6.56
67,1090,1,8.50
68,1148,0,5.88
69,1113,0,41.00
69,1113,1,8.14
70,1113,0,5.88
70,1113,1,6.00
70,1113,2,7.08
71,1004,0,9.30
71,1004,1,10.56
72,1090,0,60.93
73,1148,0,5.67
74,1113,0,61.33
74,1113,1,6.92
75,1004,0,33.55
75,1004,1,21.00
75,1004,2,24.00
76,1090,0,88.80
77,1148,0,6.53
78,1113,0,82.00
78,1113,1,8.77
79,1004,0,32.94
79,1004,1,20.40
79,1004,2,21.67
80,1045,0,17476.91
