eventID,opcode,subblock,COMP-4b.avg
1,1011,0,5.84
1,1011,1,67.58
2,1113,0,36916.50
2,1113,1,12360.57
3,1090,0,36450.79
3,1090,1,4170.13
3,1090,2,3538.24
4,1113,0,95.46
5,1148,0,9.69
5,1148,1,8.40
6,1113,0,89.93
6,1113,1,7951.33
6,1113,2,2359.71
7,1090,0,6.86
8,1148,0,6.00
8,1148,1,6.97
9,1090,0,4561.13
9,1090,1,3939.52
10,1113,0,134.08
11,1148,0,6.12
11,1148,1,6.51
12,1113,0,37173.00
12,1113,1,70.31
12,1113,2,5238.00
12,1113,3,2443.32
13,1090,0,7.50
14,1148,0,10.33
14,1148,1,8.38
15,1004,0,10745.22
15,1004,1,11657.40
16,1010,0,8.78
17,1102,0,412.96
17,1102,1,5.08
17,1102,2,69.29
18,1113,0,488.00
18,1113,1,85.12
18,1113,2,14.93
19,1102,0,425.93
19,1102,1,8.22
19,1102,2,69.16
20,1113,0,81.31
21,1113,0,31305.00
21,1113,1,84.76
21,1113,2,7.12
22,1090,0,30457.26
22,1090,1,1031.07
22,1090,2,1817.30
23,1113,0,92.33
24,1148,0,6.23
24,1148,1,6.39
25,1113,0,30410.00
25,1113,1,1363.00
25,1113,2,5219.33
25,1113,3,2659.56
26,1090,0,2323.85
26,1090,1,2745.22
27,1148,0,5.65
27,1148,1,6.09
28,1113,0,66.08
28,1113,1,1098.48
29,1090,0,5.60
30,1148,0,7.47
30,1148,1,6.27
31,1004,0,10616.82
31,1004,1,11554.86
32,1010,0,9.14
33,1102,0,393.44
33,1102,1,5.13
33,1102,2,70.71
33,1102,3,11416.77
34,1113,0,659.00
34,1113,1,85.36
34,1113,2,14.98
34,1113,3,11538.32
35,1102,0,404.68
35,1102,1,8.11
35,1102,2,70.67
35,1102,3,11760.22
36,1113,0,82.12
37,1113,0,84.78
37,1113,1,5.44
38,1090,0,1032.21
38,1090,1,1792.84
39,1148,0,6.17
39,1148,1,5.78
40,1113,0,86.97
40,1113,1,81.56
40,1113,2,147.20
41,1148,0,6.30
41,1148,1,5.59
42,1102,0,96.20
43,1113,0,551.77
43,1113,1,85.19
43,1113,2,2914.63
44,1090,0,2192.40
44,1090,1,2766.70
45,1148,0,6.06
45,1148,1,5.51
46,1113,0,64.61
46,1113,1,86.12
46,1113,2,145.33
47,1148,0,6.40
47,1148,1,5.92
48,1102,0,5.16
48,1102,1,132.27
48,1102,2,11447.21
49,1113,0,85.28
49,1113,1,14.95
49,1113,2,199.41
50,1102,0,8.08
50,1102,1,71.40
50,1102,2,11739.32
51,1113,0,84.65
51,1113,1,6.26
52,1004,0,981.00
52,1004,1,892.23
53,1113,0,779.88
54,1090,0,654.63
54,1090,1,1101.22
54,1090,2,1781.96
55,1113,0,89.41
56,1148,0,6.61
56,1148,1,6.10
57,1113,0,729.00
57,1113,1,5226.00
57,1113,2,2713.62
58,1090,0,2239.36
58,1090,1,2658.16
59,1148,0,6.00
59,1148,1,6.20
60,1113,0,67.44
60,1113,1,1061.58
61,1090,0,6.67
62,1148,0,8.12
62,1148,1,6.79
63,1004,0,2547.91
63,1004,1,10714.44
63,1004,2,11620.54
64,1090,0,46.47
65,1148,0,7.39
66,1113,0,45.88
66,1113,1,7.98
67,1090,0,6.38
67,1090,1,7.88
68,1148,0,5.93
69,1113,0,43.00
69,1113,1,7.14
70,1113,0,6.12
70,1113,1,7.00
70,1113,2,5.94
71,1004,0,8.60
71,1004,1,9.67
72,1090,0,44.73
73,1148,0,6.40
74,1113,0,42.00
74,1113,1,6.00
75,1004,0,32.04
75,1004,1,20.60
75,1004,2,21.00
76,1090,0,46.60
77,1148,0,5.73
78,1113,0,43.33
78,1113,1,6.69
79,1004,0,30.14
79,1004,1,20.13
79,1004,2,22.67
80,1045,0,4805.20
