eventID,opcode,subblock,COMP-4b.avg
1,1011,0,6.31
1,1011,1,65.86
2,1113,0,139430.00
2,1113,1,41368.71
3,1090,0,136803.84
3,1090,1,13661.91
3,1090,2,10536.99
4,1113,0,281.00
5,1148,0,8.47
5,1148,1,10.20
6,1113,0,357.71
6,1113,1,20112.67
6,1113,2,3973.48
7,1090,0,7.57
8,1148,0,6.86
8,1148,1,10.19
9,1090,0,11339.93
9,1090,1,11451.76
10,1113,0,1580.77
11,1148,0,5.76
11,1148,1,8.93
12,1113,0,145113.00
12,1113,1,79.65
12,1113,2,5281.00
12,1113,3,5532.75
13,1090,0,8.67
14,1148,0,12.08
14,1148,1,9.32
15,1004,0,33612.33
15,1004,1,35364.14
16,1010,0,9.15
17,1102,0,552.48
17,1102,1,5.41
17,1102,2,84.27
18,1113,0,567.00
18,1113,1,105.52
18,1113,2,17.86
19,1102,0,555.20
19,1102,1,9.85
19,1102,2,86.18
20,1113,0,81.99
21,1113,0,112813.38
21,1113,1,108.02
21,1113,2,9.84
22,1090,0,112174.49
22,1090,1,2624.86
22,1090,2,4479.20
23,1113,0,170.40
24,1148,0,6.00
24,1148,1,7.72
25,1113,0,121321.00
25,1113,1,1571.00
25,1113,2,12891.00
25,1113,3,5243.60
26,1090,0,5618.04
26,1090,1,6581.29
27,1148,0,6.76
27,1148,1,7.66
28,1113,0,82.08
28,1113,1,1728.74
29,1090,0,7.00
30,1148,0,6.67
30,1148,1,8.51
31,1004,0,35569.53
31,1004,1,35228.66
32,1010,0,9.60
33,1102,0,627.40
33,1102,1,5.61
33,1102,2,113.25
33,1102,3,35796.68
34,1113,0,824.00
34,1113,1,131.46
34,1113,2,45.69
34,1113,3,33946.21
35,1102,0,551.42
35,1102,1,10.48
35,1102,2,101.55
35,1102,3,37529.71
36,1113,0,84.09
37,1113,0,114.88
37,1113,1,7.64
38,1090,0,2866.31
38,1090,1,4973.67
39,1148,0,6.04
39,1148,1,7.77
40,1113,0,208.92
40,1113,1,83.96
40,1113,2,173.49
41,1148,0,15.19
41,1148,1,6.50
42,1102,0,167.24
43,1113,0,643.56
43,1113,1,266.67
43,1113,2,5764.76
44,1090,0,4876.14
44,1090,1,6844.84
45,1148,0,17.76
45,1148,1,7.41
46,1113,0,187.48
46,1113,1,87.13
46,1113,2,168.78
47,1148,0,6.33
47,1148,1,8.00
48,1102,0,5.49
48,1102,1,282.24
48,1102,2,35004.74
49,1113,0,113.51
49,1113,1,41.53
49,1113,2,338.85
50,1102,0,8.77
50,1102,1,93.04
50,1102,2,37843.97
51,1113,0,107.76
51,1113,1,10.96
52,1004,0,1200.00
52,1004,1,2881.83
53,1113,0,832.50
54,1090,0,727.98
54,1090,1,2887.89
54,1090,2,4100.03
55,1113,0,97.02
56,1148,0,6.06
56,1148,1,6.90
57,1113,0,741.00
57,1113,1,5285.00
57,1113,2,7073.46
58,1090,0,5423.43
58,1090,1,6034.24
59,1148,0,6.22
59,1148,1,7.38
60,1113,0,729.80
60,1113,1,1086.08
61,1090,0,7.00
62,1148,0,7.00
62,1148,1,8.63
63,1004,0,5899.81
63,1004,1,42298.00
63,1004,2,37228.11
64,1090,0,43.86
65,1148,0,7.09
66,1113,0,41.75
66,1113,1,7.30
67,1090,0,5.88
67,1090,1,7.75
68,1148,0,5.88
69,1113,0,40.00
69,1113,1,6.86
70,1113,0,5.75
70,1113,1,7.00
70,1113,2,7.04
71,1004,0,8.60
71,1004,1,9.44
72,1090,0,53.00
73,1148,0,5.33
74,1113,0,54.67
74,1113,1,7.77
75,1004,0,33.57
75,1004,1,21.67
75,1004,2,22.67
76,1090,0,75.93
77,1148,0,6.40
78,1113,0,50.67
78,1113,1,7.46
79,1004,0,32.82
79,1004,1,19.67
79,1004,2,21.00
80,1045,0,6316.43
