eventID,opcode,subblock,COMP-4b.avg
1,1011,0,6.16
1,1011,1,58.25
2,1113,0,67890.00
2,1113,1,17951.00
3,1090,0,66979.14
3,1090,1,5511.22
3,1090,2,4641.95
4,1113,0,110.31
5,1148,0,9.12
5,1148,1,9.44
6,1113,0,94.35
6,1113,1,10713.33
6,1113,2,2461.29
7,1090,0,6.43
8,1148,0,5.71
8,1148,1,7.90
9,1090,0,4613.73
9,1090,1,5144.90
10,1113,0,127.62
11,1148,0,6.29
11,1148,1,7.74
12,1113,0,69058.00
12,1113,1,226.24
12,1113,2,5267.00
12,1113,3,2607.36
13,1090,0,6.83
14,1148,0,6.92
14,1148,1,8.59
15,1004,0,19144.56
15,1004,1,16291.14
16,1010,0,9.45
17,1102,0,513.92
17,1102,1,5.43
17,1102,2,69.90
18,1113,0,561.00
18,1113,1,88.68
18,1113,2,18.76
19,1102,0,518.08
19,1102,1,8.45
19,1102,2,70.51
20,1113,0,82.34
21,1113,0,57661.00
21,1113,1,89.30
21,1113,2,6.94
22,1090,0,55729.04
22,1090,1,1609.81
22,1090,2,1903.50
23,1113,0,115.42
24,1148,0,6.14
24,1148,1,8.25
25,1113,0,60985.00
25,1113,1,1647.00
25,1113,2,5275.00
25,1113,3,2830.92
26,1090,0,2535.63
26,1090,1,2890.06
27,1148,0,6.06
27,1148,1,7.04
28,1113,0,73.71
28,1113,1,1141.09
29,1090,0,10.20
30,1148,0,7.73
30,1148,1,8.30
31,1004,0,17138.82
31,1004,1,16081.40
32,1010,0,9.46
33,1102,0,488.04
33,1102,1,5.73
33,1102,2,82.80
33,1102,3,16344.63
34,1113,0,735.00
34,1113,1,99.31
34,1113,2,21.89
34,1113,3,15749.64
35,1102,0,509.67
35,1102,1,8.67
35,1102,2,78.56
35,1102,3,16543.87
36,1113,0,82.99
37,1113,0,93.01
37,1113,1,6.19
38,1090,0,1503.35
38,1090,1,1958.33
39,1148,0,5.99
39,1148,1,7.93
40,1113,0,118.40
40,1113,1,82.66
40,1113,2,172.47
41,1148,0,10.19
41,1148,1,6.10
42,1102,0,121.02
43,1113,0,631.37
43,1113,1,118.15
43,1113,2,2950.42
44,1090,0,2337.26
44,1090,1,2937.17
45,1148,0,6.32
45,1148,1,6.75
46,1113,0,88.68
46,1113,1,87.01
46,1113,2,171.63
47,1148,0,6.68
47,1148,1,7.53
48,1102,0,5.34
48,1102,1,169.76
48,1102,2,16960.42
49,1113,0,94.31
49,1113,1,18.05
49,1113,2,248.85
50,1102,0,8.63
50,1102,1,77.99
50,1102,2,16226.05
51,1113,0,92.01
51,1113,1,7.80
52,1004,0,1272.00
52,1004,1,1836.11
53,1113,0,789.75
54,1090,0,687.18
54,1090,1,1110.00
54,1090,2,2078.30
55,1113,0,93.89
56,1148,0,6.50
56,1148,1,6.38
57,1113,0,756.00
57,1113,1,5265.00
57,1113,2,2729.54
58,1090,0,2252.79
58,1090,1,2683.20
59,1148,0,6.11
59,1148,1,7.48
60,1113,0,293.32
60,1113,1,1568.58
61,1090,0,7.00
62,1148,0,7.88
62,1148,1,9.00
63,1004,0,2861.07
63,1004,1,15687.89
63,1004,2,18092.51
64,1090,0,44.58
65,1148,0,7.68
66,1113,0,44.38
66,1113,1,7.05
67,1090,0,6.22
67,1090,1,8.12
68,1148,0,6.32
69,1113,0,41.00
69,1113,1,7.86
70,1113,0,6.12
70,1113,1,7.00
70,1113,2,6.98
71,1004,0,8.61
71,1004,1,9.11
72,1090,0,46.27
73,1148,0,6.00
74,1113,0,51.67
74,1113,1,7.08
75,1004,0,33.27
75,1004,1,21.40
75,1004,2,22.00
76,1090,0,57.07
77,1148,0,5.60
78,1113,0,51.33
78,1113,1,7.69
79,1004,0,32.51
79,1004,1,22.33
79,1004,2,23.00
80,1045,0,4354.92
